               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.2762,              6.5492,               5.301,           0.0021786,           0.0010288,           0.0011312,          0.00033937,                   0,                   0,                   0,            0.070205,           0.0033105,           0.0033105
                   1,              4.3218,              6.4891,              5.1584,           0.0033578,           0.0036328,           0.0017969,          0.00049766,                   0,                   0,                   0,             0.04014,           0.0065781,           0.0065781
                   2,              4.0192,              6.0525,              4.7797,           0.0018934,            0.068423,            0.001361,          0.00017997,                   0,                   0,                   0,            0.010008,           0.0097796,           0.0097796
                   3,              3.3185,              5.5239,              4.0728,             0.37768,            0.024956,           0.0074616,           0.0027894,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.7342,              5.0674,              3.5078,               0.386,            0.065713,            0.036685,            0.019307,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.4375,              4.8198,              3.1375,             0.43369,            0.057692,            0.042338,            0.025584,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.2956,              4.6479,              2.9338,             0.40413,             0.12031,            0.056976,            0.039933,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1878,              4.4867,              2.7856,             0.45435,              0.1458,             0.08093,            0.055876,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.1824,               4.423,              2.7418,             0.41983,             0.17235,            0.078766,            0.054622,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.1297,              4.3079,              2.6764,             0.41604,             0.21712,             0.12604,            0.087285,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.0997,              4.2202,              2.6139,             0.21964,             0.25346,             0.10734,            0.078609,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.0716,              4.1567,              2.5741,              0.1894,              0.2698,             0.13202,             0.09716,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.0363,              4.0714,              2.5392,             0.29342,             0.23106,             0.12725,            0.092135,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.0267,              4.0446,              2.5353,             0.38501,             0.29891,             0.15395,              0.1125,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.0309,              3.9742,              2.5034,             0.23743,             0.29291,             0.15053,             0.10687,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.9847,              3.9297,              2.4811,             0.23035,             0.30945,              0.1766,             0.12721,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.9491,              3.8481,              2.4276,             0.24467,              0.2418,             0.14906,             0.10962,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.9451,              3.8132,              2.4412,             0.58504,             0.21375,             0.19733,              0.1395,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.9247,              3.7496,              2.4132,                0.36,             0.31062,              0.2224,             0.16006,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,                1.95,              3.7295,              2.4028,               0.264,             0.37584,             0.24141,             0.17104,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.9191,              3.6552,               2.374,             0.16838,             0.33056,             0.20218,             0.14439,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.8929,              3.6024,              2.3455,             0.20199,             0.33634,             0.23562,             0.17392,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.8832,              3.5496,              2.3494,             0.21819,             0.35671,             0.26413,             0.19619,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,               1.874,               3.536,              2.3568,             0.22294,             0.36049,             0.24641,             0.17802,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,                1.86,               3.458,              2.3035,             0.29448,             0.36434,             0.25761,             0.18686,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.8569,              3.4295,               2.307,             0.26391,             0.39133,             0.27011,             0.20046,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.8751,              3.4293,              2.3085,             0.23397,             0.38836,             0.26876,             0.19734,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.8194,              3.3658,              2.2846,             0.37875,             0.35789,             0.27639,              0.2005,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.8302,               3.372,              2.2822,             0.58707,             0.33461,             0.32266,             0.24156,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.8164,              3.3187,              2.2795,             0.27252,             0.38347,             0.28264,             0.20816,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.8125,              3.2674,              2.2573,             0.34895,             0.36666,             0.30631,             0.23186,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.8241,              3.2891,              2.2669,             0.27314,             0.43258,              0.3062,             0.22859,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,                 1.8,              3.2321,              2.2603,             0.46805,             0.33717,             0.34252,             0.25542,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,               1.791,              3.2061,              2.2529,              0.3025,             0.37258,             0.36501,             0.27271,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.7678,               3.146,              2.2394,             0.27093,             0.44982,             0.36746,             0.28141,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.7864,              3.1555,              2.2405,              0.2084,             0.45165,              0.3591,             0.27149,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.7829,              3.1039,              2.2169,             0.47743,             0.38324,             0.37474,              0.2897,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.7676,              3.1196,              2.2161,             0.42484,             0.38692,              0.3805,             0.29381,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.7545,              3.0631,              2.2093,             0.23534,             0.47866,             0.37214,             0.28261,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.7454,              3.0183,              2.1987,             0.38418,             0.45407,             0.39112,             0.30737,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.7354,              3.0047,              2.1759,              0.2341,             0.43608,             0.37587,             0.28558,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.7332,               2.981,              2.1831,             0.26418,             0.44689,             0.35924,             0.27398,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.7019,              2.9689,              2.1721,             0.59622,             0.34878,             0.40451,              0.3091,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.7393,              2.9696,              2.1946,             0.25499,             0.50288,             0.36361,             0.28231,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.7094,              2.8745,              2.1656,              0.3531,             0.46221,              0.3923,             0.29521,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.7149,              2.8532,               2.168,             0.47698,             0.38645,             0.39511,             0.30306,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.6935,              2.8881,               2.163,             0.26589,             0.48507,             0.40456,             0.31162,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.7189,              2.8379,              2.1559,             0.34785,             0.47541,             0.44688,             0.34383,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.6947,              2.8024,              2.1451,             0.34308,             0.47567,             0.42093,             0.32045,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.7042,              2.8179,              2.1525,             0.32708,             0.48205,             0.45147,             0.34951,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.6841,              2.8152,              2.1492,             0.30714,             0.47211,             0.42515,             0.32308,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,               1.682,              2.7608,              2.1392,             0.29852,             0.56321,             0.44769,             0.34231,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6762,              2.7306,              2.1382,             0.36569,             0.46781,             0.46059,             0.35326,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.6874,              2.7387,              2.1338,             0.32909,             0.46869,             0.42795,             0.33711,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.6695,              2.7457,              2.1176,              0.3319,             0.52548,              0.4609,             0.34856,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.6578,              2.6887,              2.1261,              0.3425,             0.53075,             0.47057,             0.36334,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.6524,              2.6277,              2.1072,             0.34012,              0.4949,             0.45932,              0.3589,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,               1.663,              2.6508,              2.1162,             0.42375,               0.489,             0.47796,             0.37019,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.6467,              2.5728,              2.0924,             0.37246,             0.49963,             0.46435,             0.35795,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.6673,               2.611,              2.1164,             0.38752,             0.53231,             0.47406,             0.37091,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.6304,              2.6075,               2.085,             0.41784,              0.5065,             0.46867,             0.36215,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.6289,                2.56,              2.0916,             0.41441,             0.49016,             0.47374,             0.36814,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.6286,              2.5826,              2.0919,             0.38377,             0.48316,             0.47526,             0.36714,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.6339,              2.5498,              2.0796,             0.37861,             0.55038,             0.48627,             0.37305,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.6229,              2.4964,              2.0749,             0.35324,             0.49961,             0.46682,              0.3572,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.6226,              2.5226,              2.0807,             0.41108,             0.48785,             0.49397,             0.38821,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
